indicator_id,stat_code,match,hits,auto,order
3-8-3,K002,context,고령,TRUE,1
3-8-3,K004,context,출생,TRUE,2
3-8-4,K002,near,"고령,노인",TRUE,1
3-8-4,K004,context,출생,TRUE,2
3-9-1,K196,near,"병상,공공병상",TRUE,1
4-1-1,K040,exact,"취학률,고등교육,유치원,학교",TRUE,1
4-1-1,K041,context,학습성과,TRUE,2
4-1-1,K016,context,장애,TRUE,3
4-1-2,K043,exact,"PISA,국제학업성취",TRUE,1
4-1-2,K041,near,"학업성취,학습성과",TRUE,2
4-1-2,K016,context,장애,TRUE,3
4-1-3,K041,near,학습성과,TRUE,1
4-1-3,K016,context,장애,TRUE,2
4-10-1,K040,near,학생수,TRUE,1
4-10-1,K083,context,1인당,TRUE,2
4-10-2,K044,near,"보육,보육교사",TRUE,1
4-10-3,K040,near,학생수,TRUE,1
4-10-3,K043,context,수학,TRUE,2
4-10-4,K204,exact,"전문상담교사,상담교사",TRUE,1
4-2-1,K044,near,"보육,영유아",TRUE,1
4-2-2,K044,near,"보육,영유아",TRUE,1
4-2-2,K040,context,학교,TRUE,2
4-2-2,K092,context,이용률,TRUE,3
4-2-3,K044,exact,"보육,어린이집,영유아",TRUE,1
4-2-3,K040,near,유치원,TRUE,2
4-2-3,K092,context,이용률,TRUE,3
4-2-4,K044,near,"보육,영유아",TRUE,1
4-3-1,K040,near,"고등교육,학교",TRUE,1
4-3-1,K199,context,직업교육,TRUE,2
4-3-1,K016,context,장애,TRUE,3
4-3-2,K199,context,직업교육,TRUE,1
4-3-2,K016,context,장애,TRUE,2
4-3-2,K040,context,학교,TRUE,3
4-3-2,K083,context,1인당,TRUE,4
4-3-3,K042,exact,"성인학습,참여율",TRUE,1
4-3-3,K040,near,"고등교육,학교",TRUE,2
4-3-3,K199,context,직업교육,TRUE,3
4-3-3,K016,context,장애,TRUE,4
4-4-1,K042,exact,"평생학습,참여율",TRUE,1
4-4-2,K199,near,직업교육,TRUE,1
4-4-3,K092,context,"디지털,ICT",TRUE,1
4-5-1,K016,near,"장애인,장애",TRUE,1
4-6-1,K197,exact,"PIAAC,언어역량,수리역량,숙련도,문해",TRUE,1
4-6-1,K198,context,문해,TRUE,2
4-6-2,K198,exact,"문해율,문해,성인문해",TRUE,1
4-6-2,K197,context,문해,TRUE,2
4-7-1,K202,context,지속가능발전,TRUE,1
4-7-2,K202,context,지속가능발전,TRUE,1
4-7-3,K202,context,지속가능발전,TRUE,1
4-7-4,K040,context,교원,TRUE,1
4-7-4,K202,context,지속가능발전,TRUE,2
4-8-1,K040,near,"학급,학교",TRUE,1
4-8-1,K016,near,"장애인,장애",TRUE,2
4-8-1,K043,context,수학,TRUE,3
4-8-2,K016,near,"장애인,장애",TRUE,1
4-8-2,K040,context,학교,TRUE,2
4-8-3,K016,near,"장애인,장애",TRUE,1
4-9-1,K090,context,GDP대비,TRUE,1
4-9-1,K083,context,GDP,TRUE,2
5-2-1,K052,near,가정폭력,TRUE,1
5-2-2,K052,near,성폭력,TRUE,1
5-2-2,K170,context,"검거,발생",TRUE,2
5-2-3,K170,near,"범죄,검거,발생",TRUE,1
5-2-3,K052,near,성폭력,TRUE,2
5-2-3,K092,context,디지털,TRUE,3
5-3-1,K001,context,가구,TRUE,1
5-3-1,K044,context,돌봄,TRUE,2
5-4-1,K053,near,"의사결정,성비",TRUE,1
5-4-2,K053,near,"의사결정,대표성",TRUE,1
5-4-3,K051,near,여성관리자,TRUE,1
5-4-3,K053,context,의사결정,TRUE,2
5-7-1,K050,context,성평등,TRUE,1
6-1-1,K060,near,수돗물,TRUE,1
6-1-2,K060,exact,"상수도,보급률",TRUE,1
6-1-2,K071,context,보급률,TRUE,2
6-2-1,K060,near,보급률,TRUE,1
6-2-1,K061,near,하수도,TRUE,2
6-2-1,K071,context,보급률,TRUE,3
6-2-2,K061,near,하수도,TRUE,1
6-3-1,K062,context,수질,TRUE,1
6-3-2,K062,context,수질,TRUE,1
6-3-3,K062,context,수질,TRUE,1
6-4-1,K060,near,"상수도,누수",TRUE,1
6-4-1,K064,context,수자원,TRUE,2
6-4-2,K060,near,상수도,TRUE,1
6-4-2,K064,context,수자원,TRUE,2
6-4-3,K061,near,하수처리,TRUE,1
6-4-3,K064,context,수자원,TRUE,2
6-5-3,K163,near,"보호지역,습지보호지역",TRUE,1
6-5-3,K153,context,습지보호,TRUE,2
6-6-2,K062,context,수질,TRUE,1
7-1-1,K070,near,에너지,TRUE,1
7-1-1,K074,near,바우처,TRUE,2
7-2-1,K071,exact,"재생에너지,발전비중",TRUE,1
7-2-1,K070,near,에너지,TRUE,2
7-2-2,K070,exact,"에너지,1차에너지",TRUE,1
7-2-2,K071,near,재생에너지,TRUE,2
7-3-1,K073,near,에너지효율,TRUE,1
7-3-1,K070,near,에너지,TRUE,2
7-3-2,K073,near,에너지효율,TRUE,1
7-3-2,K070,near,에너지,TRUE,2
7-4-1,K070,near,"에너지,에너지소비",TRUE,1
7-4-2,K070,near,"에너지,에너지소비",TRUE,1
8-1-1,K083,exact,"GDP,1인당",TRUE,1
8-2-1,K080,near,고용률,TRUE,1
8-2-1,K016,context,장애,TRUE,2
8-2-1,K081,context,일자리,TRUE,3
8-2-2,K080,near,비정규직,TRUE,1
8-2-2,K081,context,일자리,TRUE,2
8-3-1,K094,exact,"중소기업,소상공인",TRUE,1
8-3-1,K080,near,취업자,TRUE,2
8-3-1,K081,context,취업,TRUE,3
8-3-2,K094,near,"중소기업,소상공인,창업",TRUE,1
8-4-1,K082,near,"임금,임금격차",TRUE,1
8-6-1,K084,near,사고사망,TRUE,1
8-6-1,K114,context,사고사망,TRUE,2
8-6-2,K084,near,재해율,TRUE,1
9-1-1,K093,context,도로,TRUE,1
9-1-1,K060,context,보급률,TRUE,2
9-1-1,K071,context,보급률,TRUE,3
9-1-2,K092,exact,"정보화,디지털",TRUE,1
9-3-1,K090,context,혁신,TRUE,1
9-3-2,K090,context,혁신,TRUE,1
9-4-1,K090,exact,"연구개발,GDP대비",TRUE,1
9-4-1,K083,near,GDP,TRUE,2
9-5-1,K130,near,"배출량,탄소,CO2",TRUE,1
9-5-1,K083,near,부가가치,TRUE,2
9-5-1,K091,near,부가가치,TRUE,3
9-5-1,K090,context,혁신,TRUE,4
9-5-1,K123,context,배출량,TRUE,5
9-5-2,K120,near,"폐기물,재활용",TRUE,1
9-5-2,K090,context,혁신,TRUE,2
