indicator_id,page_code,page_name,url,match,score,order
12-8-2,IDXN-1679,우리 국민의 국제기구 진출 현황,https://www.index.go.kr/unify/idx-info.do?idxCd=1679,context,30,1
12-9-1,IDXN-1317,수산물 소비량(연간 1인당)과 자급률,https://www.index.go.kr/unify/idx-info.do?idxCd=1317,near,49,1
12-9-1,IDXN-1521,교원 1인당 학생 수,https://www.index.go.kr/unify/idx-info.do?idxCd=1521,context,36,2
12-9-1,IDXN-4257,1인당 주거면적,https://www.index.go.kr/unify/idx-info.do?idxCd=4257,context,33,3
12-9-1,IDXN-4287,1인당 물사용량,https://www.index.go.kr/unify/idx-info.do?idxCd=4287,context,33,4
12-9-1,IDXN-5073,1인당 문화재정,https://www.index.go.kr/unify/idx-info.do?idxCd=5073,context,33,5
13-2-2,IDXN-2781,에너지 수급현황,https://www.index.go.kr/unify/idx-info.do?idxCd=2781,context,28,1
13-3-1,IDXN-1033,공공기관 청렴도,https://www.index.go.kr/unify/idx-info.do?idxCd=1033,near,46,1
13-3-1,IDXN-1099,공공기관 임직원 현황,https://www.index.go.kr/unify/idx-info.do?idxCd=1099,near,46,2
13-3-1,IDXN-1038,공공기관 정보공개,https://www.index.go.kr/unify/idx-info.do?idxCd=1038,near,42,3
13-3-1,IDXN-2855,공공기관 CCTV 설치 및 운영,https://www.index.go.kr/unify/idx-info.do?idxCd=2855,context,37,4
13-3-1,IDXN-1103,공공기관 고객만족도 결과,https://www.index.go.kr/unify/idx-info.do?idxCd=1103,context,37,5
13-4-1,IDXN-1464,국가 온실가스 배출현황,https://www.index.go.kr/unify/idx-info.do?idxCd=1464,near,55,1
13-4-1,IDXN-2791,화학물질 배출량 및 통계 조사,https://www.index.go.kr/unify/idx-info.do?idxCd=2791,context,32,2
13-4-1,IDXN-1037,대기오염물질 배출량,https://www.index.go.kr/unify/idx-info.do?idxCd=1037,context,31,3
13-4-1,IDXN-1474,폐수배출시설 및 배출량 현황,https://www.index.go.kr/unify/idx-info.do?idxCd=1474,context,31,4
14-5-1,IDXN-3056,해양보호구역 지정 현황,https://www.index.go.kr/unify/idx-info.do?idxCd=3056,exact,93,1
16-1-1,IDXN-4262,범죄율,https://www.index.go.kr/unify/idx-info.do?idxCd=4262,near,43,1
16-7-1,IDXN-1679,우리 국민의 국제기구 진출 현황,https://www.index.go.kr/unify/idx-info.do?idxCd=1679,context,30,1
16-9-1,IDXN-1038,공공기관 정보공개,https://www.index.go.kr/unify/idx-info.do?idxCd=1038,near,46,1
17-1-1,IDXN-1687,ODA 원조규모,https://www.index.go.kr/unify/idx-info.do?idxCd=1687,near,44,1
17-1-1,IDXN-1688,GNI대비 및 1인당 ODA 추이,https://www.index.go.kr/unify/idx-info.do?idxCd=1688,context,33,2
17-7-2,IDXN-1687,ODA 원조규모,https://www.index.go.kr/unify/idx-info.do?idxCd=1687,context,33,1
17-7-2,IDXN-1688,GNI대비 및 1인당 ODA 추이,https://www.index.go.kr/unify/idx-info.do?idxCd=1688,context,26,2
3-1-3,IDXN-2829,"청소년 현재 흡연율, 청소년 현재 음주율",https://www.index.go.kr/unify/idx-info.do?idxCd=2829,near,39,1
3-1-3,IDXN-2718,자원봉사 참여(성인),https://www.index.go.kr/unify/idx-info.do?idxCd=2718,context,26,2
3-1-4,IDXN-2768,장애인 현황,https://www.index.go.kr/unify/idx-info.do?idxCd=2768,context,36,1
3-1-4,IDXN-1498,장애인 의무고용 현황,https://www.index.go.kr/unify/idx-info.do?idxCd=1498,context,28,2
3-1-4,IDXN-1545,장애인 편의시설 현황,https://www.index.go.kr/unify/idx-info.do?idxCd=1545,context,28,3
3-2-1,IDXN-5091,자살률,https://www.index.go.kr/unify/idx-info.do?idxCd=5091,exact,65,1
3-3-1,IDXN-1614,"교통사고 현황(사망, 부상)",https://www.index.go.kr/unify/idx-info.do?idxCd=1614,near,49,1
3-6-1,IDXN-1012,사망원인별 사망률 추이,https://www.index.go.kr/unify/idx-info.do?idxCd=1012,context,28,1
3-6-2,IDXN-1440,국가 암검진 수검률,https://www.index.go.kr/unify/idx-info.do?idxCd=1440,context,30,1
3-6-3,IDXN-2705,비만 유병률,https://www.index.go.kr/unify/idx-info.do?idxCd=2705,exact,67,1
3-6-3,IDXN-1597,청소년 인구 및 구성비,https://www.index.go.kr/unify/idx-info.do?idxCd=1597,near,39,2
3-6-3,IDXN-1441,정신장애 유병률,https://www.index.go.kr/unify/idx-info.do?idxCd=1441,context,36,3
